自动序号,时间段(分钟),短句话术,冷场补救,长段话术,政策口径,场景,主题/异议,是否推荐,创建时间,更新时间,标题,关键词,直播间商品序号,父记录,提问类型,提问,回答,家装建材
16,0-10,家人们好，我是小苏！新来的别划走，回我三句话：装哪间房、面积多大、层高多少？我直接给你配灯+色温。,家人们我看你们都不说话，那我直接发问：你现在选灯最卡的是【刺眼/安装/价格】哪一个？公屏打1/2/3，我就按你选的点往下讲，别让你白蹲。,家人们好，我是小苏。刚进直播间的家人先别划走，选灯别靠感觉乱买——先看房间用途（客厅/卧室/餐厅），再定色温（想清爽还是温馨），最后看出光方式避免直射刺眼。你把房间+面积+层高发我，我按你家情况给你配，省钱又省心。,质保3年；平台7天无理由退换（安装后不支持）。,开场,欢迎+关注,,2026/02/26,2026/02/27,开场｜欢迎+关注,"开场,欢迎,关注,新进,三问",,,,,,
17,0-10,家人们好，我是小苏！新来的别划走，回我三句话：装哪间房、面积多大、层高多少？我直接给你配灯+色温。,家人们再来一次“三问配灯”：房间？面积？层高？你把这三样打出来，我就能把灯型和色温给你配到位。不会选没关系，你只管说需求。,家人们好，我是小苏。刚进直播间的家人先别划走，选灯别靠感觉乱买——先看房间用途（客厅/卧室/餐厅），再定色温（想清爽还是温馨），最后看出光方式避免直射刺眼。你把房间+面积+层高发我，我按你家情况给你配，省钱又省心。,质保3年；平台7天无理由退换（安装后不支持）。,开场,三问快速分流,,2026/02/26,2026/02/27,开场｜三问快速分流,"开场,留人,三问,房间,面积,层高,快速匹配",,,,,,
18,0-10,家人们好，我是小苏！先别划走，我给你3分钟讲清楚：色温怎么选、显指怎么看、安装要注意什么。,家人们我给你一个30秒避坑：卧室别太白容易累，客厅别太黄容易闷，餐厨显色别太低颜色发灰。你告诉我装哪间房，我直接给你推荐最合适的色温范围。,家人们好，我是小苏。今天这场不讲虚的，只讲你买灯最怕踩的坑，看完你就知道怎么选。卧室偏暖更舒服、客厅偏白更清爽、餐厨显色要高，这些都是最关键的点。你把房间用途和大概面积发我，我按你家情况给你配，省你做功课。,质保3年；平台7天无理由退换（安装后不支持）。,开场,30秒避坑承诺,,2026/02/26,2026/02/27,开场｜30秒避坑承诺,"开场,留人,30秒,避坑承诺,色温,显指",,,,,,
19,0-10,家人们好，我是小苏！先点关注不迷路，今天我边讲避坑边给你算最省心的搭配。,家人们现在我把福利说清楚：想要我这套“选灯避坑表”的，公屏打【清单】。想直接省事的，打【房间+面积+层高】，我边讲边帮你配。,家人们好，我是小苏。新来的先点个关注不迷路，今天这场我先按客厅/卧室/餐厅帮你把选灯思路讲清楚，再做一轮回购福利。没来得及问的家人别着急，回放你随时能看，有什么问题打在公屏我下次优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,开场,福利引导+节奏预告,,2026/02/26,2026/02/27,开场｜福利引导+节奏预告,"开场,留人,福利引导,节奏预告,回放,关注",,,,,,
20,0-10,家人们好，我是小苏！今天不讲虚的，只讲你买灯最怕踩的坑，看完你就知道怎么选。,家人们互动一下：你家更喜欢“清爽白”还是“温馨暖”？公屏打【清爽/温馨】，我顺便把客厅卧室怎么配色温讲清楚，听完你就不纠结了。,家人们好，我是小苏。今天我们先按房间用途把色温、显指、出光方式讲透。你把客厅/卧室/餐厅、面积、层高发我，我按你家情况给你配，省钱又省心。新来的家人先别划走，有问题打在公屏，小苏优先回答。,质保3年；平台7天无理由退换（安装后不支持）。,开场,留人+引导提问,,2026/02/26,2026/02/27,开场｜留人+引导提问,"开场,留人,引导提问,互动,场景,户型",,,,,,
21,0-10,家人们好，我是小苏！今天我先按客厅/卧室/餐厅帮你把选灯思路先讲清楚。,家人们我给你们一个词的寓意：‘明’=日月同辉。家里想要“明而不刺”，就看出光方式和色温。你家是客厅还是卧室？打出来我给你一句话建议。,家人们好，我是小苏。选灯别只看图，我今天按场景给你讲：卧室偏暖更舒服、客厅偏白更清爽、餐厨显色要高。你把房间用途和大概面积发我，我按你家情况给你配，省钱又省心。新来的家人先别划走，有问题打在公屏，小苏优先回答。,质保3年；平台7天无理由退换（安装后不支持）。,开场,选灯思路先讲清,,2026/02/26,2026/02/27,开场｜选灯思路先讲清,"开场,选灯思路,思路,三问,房间,色温",,,,,,
22,0-10,家人们好，我是小苏！你把客厅/卧室/餐厅+面积+层高发我，我直接给你配灯。,家人们预算这块别焦虑，你给我一个区间就行：比如【200-300/300-500/500+】。我按预算给你配“够用”和“更舒服”的两套方案，你对比着选最省钱的。,家人们好，我是小苏。今天我按你家房间用途、面积、层高给你配灯，省你做功课。客厅更看重通透和层次、卧室更看重舒适不刺眼、餐厅更看重显色让饭菜看着更有食欲。你把房间用途和大概面积发我，我按你家场景给你推荐，别花冤枉钱。,质保3年；平台7天无理由退换（安装后不支持）。,开场,参数+预算+风格,,2026/02/26,2026/02/27,开场｜参数+预算+风格,"开场,预算,风格,参数,客厅,卧室",,,,,,
23,0-10,家人们好，我是小苏！你把客厅/卧室/餐厅+面积+层高发我，我直接给你配灯。,家人们你们随便问，灯这块我最怕的不是问题多，是你们憋着不问。你现在最想解决的是：怎么选灯型？怎么选色温？还是安装怎么弄？公屏打出来我就讲。,家人们好，我是小苏。今天咱们讲清楚：光太白刺眼、显色不好、安装麻烦——这三点你先确认。你把房间用途和大概面积发我，我按你家情况给你配，省钱又省心。新来的家人先别划走，有问题打在公屏，小苏优先回答。,质保3年；平台7天无理由退换（安装后不支持）。,开场,互动提问,,2026/02/26,2026/02/27,开场｜互动提问,"开场,互动提问,场景,户型,客厅,卧室",,,,,,
24,0-10,家人们好，我是小苏！今天先把最关键的选灯思路讲清楚，再讲如何避坑，最后做一轮回购福利。,家人们我先立个规矩：不让你们盲拍。你把房间用途+面积+层高发我，我先把灯型、尺寸、色温给你对上号，合适再下单，别花冤枉钱。,家人们好，我是小苏。新来的先别划走，我今天按客厅/卧室/餐厅帮你把色温怎么选、显指怎么看讲透。你把房间用途和大概面积发我，我按你家情况给你配，省钱又省心。有问题打在公屏，小苏优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,开场,立人设+靠谱人设,,2026/02/26,2026/02/27,开场｜立人设+靠谱人设,"开场,立人设,靠谱,小苏,家人们,避坑",,,,,,
25,0-10,家人们好，我是小苏！今天我按你家房间用途、面积、层高给你配灯，省你做功课。,家人们我给你们一个“下单前必做”：先量尺寸/孔径/层高，拍照留着；不确定就发我，我帮你核对。确认好了再装更省心，装完就不支持无理由退换了。,家人们好，我是小苏。先别急着下单，我帮你把色温、显指、出光方式讲清楚，避免你装了不舒服。你把房间用途和大概面积发我，我按你家情况给你配，省钱又省心。有问题打在公屏，小苏优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,开场,避坑承诺+给安全感,,2026/02/26,2026/02/27,开场｜避坑承诺+给安全感,"开场,避坑承诺,安全感,先测试后装,避免踩坑",,,,,,
26,10-30,别划走，小苏用30秒帮你避坑：色温不是越白越好，显指也不是越高越贵越值，关键是用在你家哪个房间、出光会不会直射刺眼。,家人们咱们互动一下：你家更想要“亮一点”还是“柔一点”？公屏打【亮/柔】。我顺便把色温和防眩怎么选给你讲透。,家人们你担心刺眼很正常。小苏给你个简单判断：卧室优先偏暖更舒服，客厅看你想清爽还是温馨；再看灯的出光方式，是不是直射眼睛。你把房间用途/层高告诉我，我按你家情况把色温和款式给你配到位，用起来舒服才是第一位。,质保3年；平台7天无理由退换（安装后不支持）。,留人,30秒避坑,,2026/02/26,2026/02/27,留人｜30秒避坑,"留人,30秒,避坑,色温,显指",,,,,,
27,10-30,别划走，你回我：装哪间房+多大面积+层高多少？我一句话给你配灯和色温。,家人们别潜水，回我一句就行：装哪间房+大概面积？我直接给你推荐灯型和尺寸，省你翻半天。,家人你刚进来别急着划走，小苏帮你省时间：你只要回我三个信息——房间用途、面积、层高，我就能把你适合吸顶还是吊灯、建议亮度、色温范围给你配好。参数你不用记，我来给你翻译成人话。,质保3年；平台7天无理由退换（安装后不支持）。,留人,一句话配灯,,2026/02/26,2026/02/27,留人｜一句话配灯,"留人,一句话配灯,回我,房间,面积,层高",,,,,,
28,10-30,别划走，你把房间用途、面积、层高发我，我按你家情况帮你配。,家人们我先做个小投票：你最怕的是【刺眼】还是【不够亮】？公屏打1/2，我按你选的那条往下讲。,家人你刚进来别急着划走，小苏帮你省时间，你只要回我三个信息：房间用途、面积、层高。你不想研究参数也没关系，小苏按你家情况给你配。你现在最关心的是哪块：怕刺眼、怕安装麻烦，还是觉得贵？打在公屏我优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,留人,互动提问,,2026/02/26,2026/02/27,留人｜互动提问,"留人,互动,打在公屏,客厅,卧室,餐厅",,,,,,
29,10-30,别划走，你告诉我1）客厅/卧室/餐厅；2）大概面积；3）层高，三句话我就能把该选吸顶还是吊灯、色温怎么配给你说明白。,家人们教你一句：层高低选贴顶，层高够做氛围。你家层高大概多少？公屏打【2.6/2.8/3.0】我就给你定方向。,家人你刚进来别急着划走，小苏帮你省时间：你只要回我三个信息——房间用途、面积、层高，我就能把你适合吸顶还是吊灯、建议亮度、色温范围给你配好。参数你不用记，我来给你翻译成人话。,质保3年；平台7天无理由退换（安装后不支持）。,留人,按房间类型讲,,2026/02/26,2026/02/27,留人｜按房间类型讲,"留人,按房间,客厅,卧室,餐厅,色温",,,,,,
30,10-30,别划走，你把房间用途、面积、层高发我，我按你家情况帮你配。,家人们亮度别猜，按面积来更稳：你家客厅/卧室多少平？打出来，我给你一个“够亮不浪费”的建议。,家人你刚进来别急着划走，小苏帮你省时间：你只要回我三个信息——房间用途、面积、层高，我就能把你适合吸顶还是吊灯、建议亮度、色温范围给你配好。参数你不用记，我来给你翻译成人话。你现在最关心的是哪块：怕不够亮、怕太刺眼，还是怕显色不好？打在公屏我优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,留人,按亮度需求讲,,2026/02/26,2026/02/27,留人｜按亮度需求讲,"留人,亮度,客厅,卧室,吸顶,吊灯",,,,,,
31,10-30,别划走，你把房间用途、面积、层高发我，我按你家情况帮你配。,家人们风格这块别纠结，先说你家是【现代/奶油/原木/轻奢】哪种？公屏打出来，我给你推荐更搭的灯型和颜色。,家人你刚进来别急着划走，小苏帮你省时间：你只要回我三个信息——房间用途、面积、层高，我就能把你适合吸顶还是吊灯、建议亮度、色温范围给你配好。参数你不用记，我来给你翻译成人话。你现在更在意哪种风格：简约清爽、轻奢质感，还是复古温馨？打在公屏我优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,留人,按风格需求讲,,2026/02/26,2026/02/27,留人｜按风格需求讲,"留人,风格,简约,轻奢,复古,温馨",,,,,,
32,10-30,别划走，你把房间用途、面积、层高发我，我按你家情况帮你配。,家人们预算不怕说，给我个区间就行：200-300 / 300-500 / 500+。我按预算给你两套：省钱款和更舒服款。,家人你刚进来别急着划走，小苏帮你省时间：你只要回我三个信息——房间用途、面积、层高，我就能把你适合吸顶还是吊灯、建议亮度、色温范围给你配好。参数你不用记，我来给你翻译成人话。你现在卡在预算上，是觉得贵还是觉得贵得没道理？打在公屏我优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,留人,按预算讲,,2026/02/26,2026/02/27,留人｜按预算讲,"留人,预算,高性价比,按预算,性价比",,,,,,
33,10-30,别划走，你把房间用途、面积、层高发我，我按你家情况帮你配。,家人们层高低最怕“压”，层高高最怕“空”。你家是偏低还是偏高？公屏打【低/高】我教你怎么选不翻车。,家人你刚进来别急着划走，小苏帮你省时间：你只要回我三个信息——房间用途、面积、层高，我就能把你适合吸顶还是吊灯、建议亮度、色温范围给你配好。参数你不用记，我来给你翻译成人话。你担心层高问题，是层高偏低压人，还是层高足够想做吊灯？打在公屏我优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,留人,按层高讲,,2026/02/26,2026/02/27,留人｜按层高讲,"留人,层高,吸顶,吊灯,层高偏低,层高足够",,,,,,
34,10-30,别划走，你把房间用途、面积、层高发我，我按你家情况帮你配。,家人们不想刺眼，就记住四个字：别直射眼。你家主要是沙发位晃眼还是床上晃眼？打【沙发/床】我给你避眩思路。,家人你刚进来别急着划走，小苏帮你省时间：你只要回我三个信息——房间用途、面积、层高，我就能把你适合吸顶还是吊灯、建议亮度、色温范围给你配好。参数你不用记，我来给你翻译成人话。你更在意哪种出光方式：漫反射更柔和、直射更明亮，还是怕眩光刺眼？打在公屏我优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,留人,按出光方式讲,,2026/02/26,2026/02/27,留人｜按出光方式讲,"留人,出光方式,漫反射,直射,避免眩光,舒服",,,,,,
35,10-30,别划走，你把房间用途、面积、层高发我，我按你家情况帮你配。,家人们色温其实很好选：想温馨选暖一点，想清爽选白一点。你家更喜欢【暖/白】？我按房间给你落到具体建议。,家人你刚进来别急着划走，小苏帮你省时间：你只要回我三个信息——房间用途、面积、层高，我就能把你适合吸顶还是吊灯、建议亮度、色温范围给你配好。参数你不用记，我来给你翻译成人话。你更倾向哪种色温：偏暖舒服、偏白清爽，还是看你家人习惯？打在公屏我优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,留人,按色温需求讲,,2026/02/26,2026/02/27,留人｜按色温需求讲,"留人,色温,暖,白,3000K,6000K",,,,,,
36,30-90,家人我理解你觉得贵，小苏不催你冲动消费——你现在卡的就是“值不值”。咱们按你家场景和参数把账算清楚。,家人们我给你个“值不值”判断：同样是灯，舒服的光每天都在用。你告诉我装哪间房、你更在意亮还是柔，我把该选哪个档位讲清楚。,价格这块你犹豫很正常。小苏不跟你讲虚的：灯的差别不只是外观，更在光的舒适度、稳定性和用料做工。你告诉我装客厅还是卧室、面积多大、层高大概多少，我按你家情况给你推荐：要性价比的我给你更省的，要追求质感耐用的我把参数和3年质保给你对齐。合适再拍，不合适别勉强。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,贵=值不值（按场景算账）,,2026/02/26,2026/02/27,憋单｜贵=值不值（按场景算账）,"憋单,贵,值不值,按场景,算账,质保",,,,,,
37,30-90,家人你要是卡在安装，小苏把话说透：先拍你家原灯/孔位，我判断要不要电工、难不难，别你自己瞎猜。,家人们安装别慌，先做一件事：拍你家原灯底盘+孔距+线头。我先帮你判断是直接替换还是要加固/改孔，省钱省事。,安装麻烦这个顾虑很正常。小苏不让你盲拍：你拍一下原灯位置/天花，换灯一般就是对孔位对线色，吸顶和大部分吊灯都不复杂；筒射主要看开孔尺寸。你担心额外费用，我也提前跟你算：要不要电工、要不要改孔，我先给你判断清楚，你确认能接受再下单，省得后面麻烦。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,安装麻烦？先说成本,,2026/02/26,2026/02/27,憋单｜安装麻烦？先说成本,"憋单,安装麻烦,成本,孔位,电工,换灯",,,,,,
38,30-90,家人你卡在刺眼/频闪，小苏不跟你嘴硬：先按房间定色温，再看出光是不是直射，舒服了你再拍。,家人们怕刺眼/频闪的，先别急下单：先定房间用途→再定色温→再看出光方式。你把房间发我，我按顺序帮你配到位。,你担心刺眼/频闪是对的。小苏先把选择顺序给你：第一步按房间用途定色温（卧室更偏暖舒服、客厅看你想清爽还是温馨）；第二步看出光方式，尽量避免直射眼睛。至于频闪，我不做绝对承诺，你到手觉得不舒服，7天内按平台规则走；但你放心，小苏会先帮你把参数和使用场景匹配好，尽量一次选对。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,刺眼频闪？先按房间选色温,,2026/02/26,2026/02/27,憋单｜刺眼频闪？先按房间选色温,"憋单,刺眼,频闪,色温,房间,出光方式",,,,,,
39,30-90,家人你要是卡在安装后不支持，小苏把话说透：先对尺寸/款式/色温再装，不确定就拍给我，装了就不支持无理由退换了。,家人们我再提醒一句省心的：到手先确认尺寸、色温、配件，通电试一下再安装。因为安装后就不支持无理由退换了，咱们先稳一把。,安装后不支持这个规则你先知道：平台7天无理由退换，但安装后不支持。所以你收到货先别急着装，先把尺寸、款式、色温确认好；不确定就拍给我，我帮你核对清楚再装。这样最省心，也避免你售后麻烦。,质保3年；平台7天无理由退换（安装后不支持）。,憋单,怕安装后不支持？先说检查,,2026/02/26,2026/02/27,憋单｜怕安装后不支持？先说检查,"憋单,安装后不支持,检查,尺寸,色温,先确认",,,,,,
